Frequency (Ghz),Intensity
8.720333662932358,0.0
8.720333981433123,0.0
8.720334299933887,0.0
8.72033461843465,0.0
8.720334936935416,0.0
8.72033525543618,0.0
8.720335573936945,0.0
8.72033589243771,0.0
8.720336210938473,0.0
8.720336529439237,0.0
8.720336847940002,0.0
8.720337166440768,0.0
8.720337484941533,0.0
8.720337803442295,0.0
8.72033812194306,0.0
8.720338440443825,0.0
8.720338758944589,0.0
8.720339077445354,0.0
8.720339395946118,0.0
8.720339714446883,0.0
8.720340032947647,0.0
8.720340351448412,0.0
8.720340669949177,0.0
8.72034098844994,0.0
8.720341306950704,2e-323
8.72034162545147,6.49914e-319
8.720341943952235,1.97105843e-314
8.720342262452998,5.55375633347847e-310
8.720342580953764,1.4538447801579568e-305
8.720342899454527,3.5358442978599534e-301
8.72034321795529,7.98936286938901e-297
8.720343536456056,1.67716217174081e-292
8.720343854956822,3.2710099634302766e-288
8.720344173457587,5.926967866695522e-284
8.720344491958349,9.97762437895701e-280
8.720344810459114,1.5605067459848705e-275
8.72034512895988,2.26750392593368e-271
8.720345447460645,3.061077618751882e-267
8.720345765961408,3.839233561685858e-263
8.720346084462172,4.473614915682693e-259
8.720346402962937,4.8430235800733455e-255
8.7203467214637,4.871003779252919e-251
8.720347039964466,4.551601654151365e-247
8.720347358465231,3.9514266424106094e-243
8.720347676965996,3.187039880727695e-239
8.720347995466758,2.388168393249878e-235
8.720348313967524,1.6625944060579867e-231
8.720348632468289,1.0753543115697696e-227
8.720348950969052,6.461907599043107e-224
8.720349269469818,3.6075619993829766e-220
8.720349587970581,1.8711591968865173e-216
8.720349906471347,9.016782480085013e-213
8.72035022497211,4.0367917390108486e-209
8.720350543472875,1.6790552732562616e-205
8.72035086197364,6.488398851275252e-202
8.720351180474402,2.329453042833284e-198
8.720351498975168,7.769879802620437e-195
8.720351817475933,2.4077896189390295e-191
8.720352135976698,6.932129576261216e-188
8.720352454477462,1.8542090798464803e-184
8.720352772978226,4.607810517700284e-181
8.72035309147899,1.063835399589913e-177
8.720353409979756,2.2819081554100297e-174
8.72035372848052,4.547427465936573e-171
8.720354046981285,8.419325452868177e-168
8.72035436548205,1.4482139013828757e-164
8.720354683982812,2.3143658065036106e-161
8.720355002483577,3.436174518119223e-158
8.720355320984343,4.739825123826541e-155
8.720355639485108,6.074259219293589e-152
8.720355957985872,7.232163261335058e-149
8.720356276486635,7.999944985868339e-146
8.7203565949874,8.221474134847697e-143
8.720356913488166,7.849758329065676e-140
8.72035723198893,6.963166418973089e-137
8.720357550489695,5.738536662147326e-134
8.720357868990458,4.393791316465544e-131
8.720358187491222,3.125515135315246e-128
8.720358505991987,2.065606937428604e-125
8.720358824492752,1.2682873413726627e-122
8.720359142993518,7.23488328313137e-120
8.72035946149428,3.834328181521437e-117
8.720359779995045,1.8879519953760317e-114
8.72036009849581,8.636474802946607e-112
8.720360416996574,3.670506270466547e-109
8.720360735497339,1.4493034548118933e-106
8.720361053998102,5.3166315782366353e-104
8.720361372498868,1.8119980166986233e-101
8.720361690999631,5.737500899541528e-99
8.720362009500397,1.6878416999195175e-96
8.720362328001162,4.613011690786565e-94
8.720362646501927,1.1713354715086628e-91
8.720362965002689,2.763261067606391e-89
8.720363283503454,6.056287067909715e-87
8.72036360200422,1.2332038843641193e-84
8.720363920504983,2.3329595700612344e-82
8.720364239005749,4.100373690534109e-80
8.720364557506512,6.695508225294021e-78
8.720364876007277,1.0157517237076451e-75
8.720365194508041,1.4316454758186626e-73
8.720365513008806,1.874680661875745e-71
8.720365831509572,2.280672946093357e-69
8.720366150010333,2.5777607531414246e-67
8.720366468511099,2.7068619854753434e-65
8.720366787011864,2.6407878666242974e-63
8.72036710551263,2.3935627413932736e-61
8.720367424013393,2.015579873437573e-59
8.720367742514156,1.57688163795588e-57
8.720368061014922,1.1461516595709154e-55
8.720368379515685,7.739786415575214e-54
8.72036869801645,4.855788496821657e-52
8.720369016517216,2.8303128608689184e-50
8.720369335017981,1.5326854152206314e-48
